player,seed,score,steps,deliveries,battery,execution_time
DefaultPlayer,1,-440,262,6,-172,3.18
EnchacedPlayer,1,116,378,6,26,4.59
DijkstraPlayer,1,130,210,4,70,2.75
astarPlayer,1,130,210,4,70,2.79
HybridPlayer,1,130,210,4,70,2.64
HybridClusterPlayer,1,108,232,4,70,3.36
DefaultPlayer,2,-75,189,6,-99,2.29
EnchacedPlayer,2,181,317,6,16,3.88
DijkstraPlayer,2,70,355,5,70,4.72
astarPlayer,2,70,355,5,70,4.58
HybridPlayer,2,70,355,5,70,4.57
HybridClusterPlayer,2,98,327,5,70,4.51
DefaultPlayer,3,-15,177,6,-87,2.17
EnchacedPlayer,3,313,197,6,25,2.42
DijkstraPlayer,3,279,146,5,70,2.03
astarPlayer,3,279,146,5,70,2.11
HybridPlayer,3,279,146,5,70,1.92
HybridClusterPlayer,3,241,184,5,70,2.69
DefaultPlayer,4,-220,218,6,-128,2.64
EnchacedPlayer,4,163,299,6,27,3.65
DijkstraPlayer,4,209,216,5,70,2.92
astarPlayer,4,209,216,5,70,3.04
HybridPlayer,4,209,216,5,70,2.7
HybridClusterPlayer,4,173,252,5,70,3.57
DefaultPlayer,5,125,149,6,-59,1.82
EnchacedPlayer,5,146,312,6,41,3.83
DijkstraPlayer,5,180,245,5,70,3.26
astarPlayer,5,180,245,5,70,3.42
HybridPlayer,5,180,245,5,70,3.11
HybridClusterPlayer,5,180,245,5,70,3.42
DefaultPlayer,12,-20,178,6,-88,2.18
EnchacedPlayer,12,206,268,6,39,3.29
DijkstraPlayer,12,232,278,6,37,3.73
astarPlayer,12,232,278,6,37,3.98
HybridPlayer,12,232,278,6,37,3.54
HybridClusterPlayer,12,274,236,6,37,3.24
DefaultPlayer,23,55,163,6,-73,1.98
EnchacedPlayer,23,250,256,6,39,3.13
DijkstraPlayer,23,273,237,6,44,3.17
astarPlayer,23,273,237,6,44,3.29
HybridPlayer,23,273,237,6,44,2.98
HybridClusterPlayer,23,293,217,6,44,3.1
DefaultPlayer,34,-276,230,6,-139,2.8
EnchacedPlayer,34,111,335,6,24,4.1
DijkstraPlayer,34,149,191,4,70,2.53
astarPlayer,34,149,191,4,70,2.6
HybridPlayer,34,149,191,4,70,2.43
HybridClusterPlayer,34,145,195,4,70,2.82
