player,seed,score,steps,deliveries,battery,execution_time
DefaultPlayer,1,-440,262,6,-172,3.2
EnchacedPlayer,1,-440,262,6,-172,3.2
DijkstraPlayer,1,153,285,6,33,3.69
astarPlayer,1,153,285,6,33,3.64
HybridPlayer,1,153,285,6,33,3.59
HybridClusterPlayer,1,74,292,6,44,3.97
DefaultPlayer,2,-75,189,6,-99,2.32
EnchacedPlayer,2,-75,189,6,-99,2.32
DijkstraPlayer,2,146,280,6,41,3.67
astarPlayer,2,146,280,6,41,3.59
HybridPlayer,2,146,280,6,41,3.55
HybridClusterPlayer,2,61,301,6,36,4.02
DefaultPlayer,3,-15,177,6,-87,2.17
EnchacedPlayer,3,-15,177,6,-87,2.19
DijkstraPlayer,3,351,159,6,1,2.12
astarPlayer,3,351,159,6,1,2.19
HybridPlayer,3,351,159,6,1,2.01
HybridClusterPlayer,3,239,215,6,29,2.95
DefaultPlayer,4,-220,218,6,-128,2.66
EnchacedPlayer,4,-220,218,6,-128,2.67
DijkstraPlayer,4,220,210,6,40,2.77
astarPlayer,4,220,210,6,40,2.78
HybridPlayer,4,220,210,6,40,2.63
HybridClusterPlayer,4,192,222,6,32,3.02
DefaultPlayer,5,125,149,6,-59,1.84
EnchacedPlayer,5,125,149,6,-59,1.84
DijkstraPlayer,5,156,246,6,11,3.2
astarPlayer,5,156,246,6,11,3.3
HybridPlayer,5,156,246,6,11,3.1
HybridClusterPlayer,5,156,246,6,11,3.32
DefaultPlayer,12,-20,178,6,-88,2.19
EnchacedPlayer,12,-20,178,6,-88,2.22
DijkstraPlayer,12,202,224,6,27,2.97
astarPlayer,12,230,236,6,5,3.36
HybridPlayer,12,202,224,6,27,2.82
HybridClusterPlayer,12,232,210,6,37,2.91
DefaultPlayer,23,55,163,6,-73,1.97
EnchacedPlayer,23,55,163,6,-73,1.99
DijkstraPlayer,23,129,225,6,44,2.93
astarPlayer,23,129,225,6,44,2.97
HybridPlayer,23,129,225,6,44,2.84
HybridClusterPlayer,23,280,210,6,25,2.88
DefaultPlayer,34,-276,230,6,-139,2.74
EnchacedPlayer,34,-276,230,6,-139,2.8
DijkstraPlayer,34,59,311,6,24,4.02
astarPlayer,34,59,311,6,24,3.97
HybridPlayer,34,59,311,6,24,3.84
HybridClusterPlayer,34,32,314,6,27,4.24
DefaultPlayer,45,15,171,6,-81,2.08
EnchacedPlayer,45,15,171,6,-81,2.1
DijkstraPlayer,45,168,230,6,28,3.06
astarPlayer,45,168,230,6,28,3.01
HybridPlayer,45,168,230,6,28,2.91
HybridClusterPlayer,45,127,295,6,27,3.99
DefaultPlayer,56,-130,200,6,-110,2.43
EnchacedPlayer,56,-130,200,6,-110,2.46
DijkstraPlayer,56,110,264,6,-9,3.47
astarPlayer,56,110,264,6,-9,3.59
HybridPlayer,56,110,264,6,-9,3.31
HybridClusterPlayer,56,36,318,6,21,4.31
DefaultPlayer,123,-5,175,6,-85,2.16
EnchacedPlayer,123,-5,175,6,-85,2.16
DijkstraPlayer,123,215,187,6,-11,2.49
astarPlayer,123,215,187,6,-11,2.72
HybridPlayer,123,215,187,6,-11,2.38
